Name,Team,Position,Age,Weight,College,Salary
Avery Bradley,Boston Celtics,PG,(25+0j),180,Texas,7730337.0
Jae Crowder,Boston Celtics,SF,(25+0j),235,Marquette,6796117.0
John Holland,Boston Celtics,SG,(27+0j),205,Boston University,
R.J. Hunter,Boston Celtics,SG,(22+0j),185,Georgia State,1148640.0
Jonas Jerebko,Boston Celtics,PF,(29+0j),231,,5000000.0
Amir Johnson,Boston Celtics,PF,(29+0j),240,,12000000.0
Jordan Mickey,Boston Celtics,PF,(21+0j),235,LSU,1170960.0
Kelly Olynyk,Boston Celtics,C,(25+0j),238,Gonzaga,2165160.0
Terry Rozier,Boston Celtics,PG,(22+0j),190,Louisville,1824360.0
Marcus Smart,Boston Celtics,PG,(22+0j),220,Oklahoma State,3431040.0
Jared Sullinger,Boston Celtics,C,(24+0j),260,Ohio State,2569260.0
Isaiah Thomas,Boston Celtics,PG,(27+0j),185,Washington,6912869.0
Evan Turner,Boston Celtics,SG,(27+0j),220,Ohio State,3425510.0
James Young,Boston Celtics,SG,(20+0j),215,Kentucky,1749840.0
Tyler Zeller,Boston Celtics,C,(26+0j),253,North Carolina,2616975.0
Bojan Bogdanovic,Brooklyn Nets,SG,(27+0j),216,,3425510.0
Markel Brown,Brooklyn Nets,SG,(24+0j),190,Oklahoma State,845059.0
Wayne Ellington,Brooklyn Nets,SG,(28+0j),200,North Carolina,1500000.0
Rondae Hollis-Jefferson,Brooklyn Nets,SG,(21+0j),220,Arizona,1335480.0
Jarrett Jack,Brooklyn Nets,PG,(32+0j),200,Georgia Tech,6300000.0
Sergey Karasev,Brooklyn Nets,SG,(22+0j),208,,1599840.0
Sean Kilpatrick,Brooklyn Nets,SG,(26+0j),219,Cincinnati,134215.0
Shane Larkin,Brooklyn Nets,PG,(23+0j),175,Miami (FL),1500000.0
Brook Lopez,Brooklyn Nets,C,(28+0j),275,Stanford,19689000.0
Chris McCullough,Brooklyn Nets,PF,(21+0j),200,Syracuse,1140240.0
Willie Reed,Brooklyn Nets,PF,(26+0j),220,Saint Louis,947276.0
Thomas Robinson,Brooklyn Nets,PF,(25+0j),237,Kansas,981348.0
Henry Sims,Brooklyn Nets,C,(26+0j),248,Georgetown,947276.0
Donald Sloan,Brooklyn Nets,PG,(28+0j),205,Texas A&M,947276.0
Thaddeus Young,Brooklyn Nets,PF,(27+0j),221,Georgia Tech,11235955.0
Arron Afflalo,New York Knicks,SG,(30+0j),210,UCLA,8000000.0
Lou Amundson,New York Knicks,PF,(33+0j),220,UNLV,1635476.0
Thanasis Antetokounmpo,New York Knicks,SF,(23+0j),205,,30888.0
Carmelo Anthony,New York Knicks,SF,(32+0j),240,Syracuse,22875000.0
Jose Calderon,New York Knicks,PG,(34+0j),200,,7402812.0
Cleanthony Early,New York Knicks,SF,(25+0j),210,Wichita State,845059.0
Langston Galloway,New York Knicks,SG,(24+0j),200,Saint Joseph's,845059.0
Jerian Grant,New York Knicks,PG,(23+0j),195,Notre Dame,1572360.0
Robin Lopez,New York Knicks,C,(28+0j),255,Stanford,12650000.0
Kyle O'Quinn,New York Knicks,PF,(26+0j),250,Norfolk State,3750000.0
Kristaps Porzingis,New York Knicks,PF,(20+0j),240,,4131720.0
Kevin Seraphin,New York Knicks,C,(26+0j),278,,2814000.0
Lance Thomas,New York Knicks,SF,(28+0j),235,Duke,1636842.0
Sasha Vujacic,New York Knicks,SG,(32+0j),195,,947276.0
Derrick Williams,New York Knicks,PF,(25+0j),240,Arizona,4000000.0
Tony Wroten,New York Knicks,SG,(23+0j),205,Washington,167406.0
Elton Brand,Philadelphia 76ers,PF,(37+0j),254,Duke,
Isaiah Canaan,Philadelphia 76ers,PG,(25+0j),201,Murray State,947276.0
Robert Covington,Philadelphia 76ers,SF,(25+0j),215,Tennessee State,1000000.0
Joel Embiid,Philadelphia 76ers,C,(22+0j),250,Kansas,4626960.0
Jerami Grant,Philadelphia 76ers,SF,(22+0j),210,Syracuse,845059.0
Richaun Holmes,Philadelphia 76ers,PF,(22+0j),245,Bowling Green,1074169.0
Carl Landry,Philadelphia 76ers,PF,(32+0j),248,Purdue,6500000.0
Kendall Marshall,Philadelphia 76ers,PG,(24+0j),200,North Carolina,2144772.0
T.J. McConnell,Philadelphia 76ers,PG,(24+0j),200,Arizona,525093.0
Nerlens Noel,Philadelphia 76ers,PF,(22+0j),228,Kentucky,3457800.0
Jahlil Okafor,Philadelphia 76ers,C,(20+0j),275,Duke,4582680.0
Ish Smith,Philadelphia 76ers,PG,(27+0j),175,Wake Forest,947276.0
Nik Stauskas,Philadelphia 76ers,SG,(22+0j),205,Michigan,2869440.0
Hollis Thompson,Philadelphia 76ers,SG,(25+0j),206,Georgetown,947276.0
Christian Wood,Philadelphia 76ers,PF,(20+0j),220,UNLV,525093.0
Bismack Biyombo,Toronto Raptors,C,(23+0j),245,,2814000.0
Bruno Caboclo,Toronto Raptors,SF,(20+0j),205,,1524000.0
DeMarre Carroll,Toronto Raptors,SF,(29+0j),212,Missouri,13600000.0
DeMar DeRozan,Toronto Raptors,SG,(26+0j),220,USC,10050000.0
James Johnson,Toronto Raptors,PF,(29+0j),250,Wake Forest,2500000.0
Cory Joseph,Toronto Raptors,PG,(24+0j),190,Texas,7000000.0
Kyle Lowry,Toronto Raptors,PG,(30+0j),205,Villanova,12000000.0
Lucas Nogueira,Toronto Raptors,C,(23+0j),220,,1842000.0
Patrick Patterson,Toronto Raptors,PF,(27+0j),235,Kentucky,6268675.0
Norman Powell,Toronto Raptors,SG,(23+0j),215,UCLA,650000.0
Terrence Ross,Toronto Raptors,SF,(25+0j),195,Washington,3553917.0
Luis Scola,Toronto Raptors,PF,(36+0j),240,,2900000.0
Jason Thompson,Toronto Raptors,PF,(29+0j),250,Rider,245177.0
Jonas Valanciunas,Toronto Raptors,C,(24+0j),255,,4660482.0
Delon Wright,Toronto Raptors,PG,(24+0j),190,Utah,1509360.0
Leandro Barbosa,Golden State Warriors,SG,(33+0j),194,,2500000.0
Harrison Barnes,Golden State Warriors,SF,(24+0j),225,North Carolina,3873398.0
Andrew Bogut,Golden State Warriors,C,(31+0j),260,Utah,13800000.0
Ian Clark,Golden State Warriors,SG,(25+0j),175,Belmont,947276.0
Stephen Curry,Golden State Warriors,PG,(28+0j),190,Davidson,11370786.0
Festus Ezeli,Golden State Warriors,C,(26+0j),265,Vanderbilt,2008748.0
Draymond Green,Golden State Warriors,PF,(26+0j),230,Michigan State,14260870.0
Andre Iguodala,Golden State Warriors,SF,(32+0j),215,Arizona,11710456.0
Shaun Livingston,Golden State Warriors,PG,(30+0j),192,,5543725.0
Kevon Looney,Golden State Warriors,SF,(20+0j),220,UCLA,1131960.0
James Michael McAdoo,Golden State Warriors,SF,(23+0j),240,North Carolina,845059.0
Brandon Rush,Golden State Warriors,SF,(30+0j),220,Kansas,1270964.0
Marreese Speights,Golden State Warriors,C,(28+0j),255,Florida,3815000.0
Klay Thompson,Golden State Warriors,SG,(26+0j),215,Washington State,15501000.0
Anderson Varejao,Golden State Warriors,PF,(33+0j),273,,289755.0
Cole Aldrich,Los Angeles Clippers,C,(27+0j),250,Kansas,1100602.0
Jeff Ayres,Los Angeles Clippers,PF,(29+0j),250,Arizona State,111444.0
Jamal Crawford,Los Angeles Clippers,SG,(36+0j),195,Michigan,5675000.0
Branden Dawson,Los Angeles Clippers,SF,(23+0j),225,Michigan State,525093.0
Jeff Green,Los Angeles Clippers,SF,(29+0j),235,Georgetown,9650000.0
Blake Griffin,Los Angeles Clippers,PF,(27+0j),251,Oklahoma,18907726.0
Wesley Johnson,Los Angeles Clippers,SF,(28+0j),215,Syracuse,1100602.0
DeAndre Jordan,Los Angeles Clippers,C,(27+0j),265,Texas A&M,19689000.0
Luc Richard Mbah a Moute,Los Angeles Clippers,PF,(29+0j),230,UCLA,947276.0
Chris Paul,Los Angeles Clippers,PG,(31+0j),175,Wake Forest,21468695.0
Paul Pierce,Los Angeles Clippers,SF,(38+0j),235,Kansas,3376000.0
Pablo Prigioni,Los Angeles Clippers,PG,(39+0j),185,,947726.0
JJ Redick,Los Angeles Clippers,SG,(31+0j),190,Duke,7085000.0
Austin Rivers,Los Angeles Clippers,PG,(23+0j),200,Duke,3110796.0
C.J. Wilcox,Los Angeles Clippers,SG,(25+0j),195,Washington,1159680.0
Brandon Bass,Los Angeles Lakers,PF,(31+0j),250,LSU,3000000.0
Tarik Black,Los Angeles Lakers,C,(24+0j),250,Kansas,845059.0
Anthony Brown,Los Angeles Lakers,SF,(23+0j),210,Stanford,700000.0
Kobe Bryant,Los Angeles Lakers,SF,(37+0j),212,,25000000.0
Jordan Clarkson,Los Angeles Lakers,PG,(24+0j),194,Missouri,845059.0
Roy Hibbert,Los Angeles Lakers,C,(29+0j),270,Georgetown,15592217.0
Marcelo Huertas,Los Angeles Lakers,PG,(33+0j),200,,525093.0
Ryan Kelly,Los Angeles Lakers,PF,(25+0j),230,Duke,1724250.0
Larry Nance Jr.,Los Angeles Lakers,PF,(23+0j),230,Wyoming,1155600.0
Julius Randle,Los Angeles Lakers,PF,(21+0j),250,Kentucky,3132240.0
D'Angelo Russell,Los Angeles Lakers,PG,(20+0j),195,Ohio State,5103120.0
Robert Sacre,Los Angeles Lakers,C,(27+0j),270,Gonzaga,981348.0
Louis Williams,Los Angeles Lakers,SG,(29+0j),175,,7000000.0
Metta World Peace,Los Angeles Lakers,SF,(36+0j),260,St. John's,947276.0
